age,gender,education_level,years_experience,job_title,performance_score,industry,city,previous_companies,remote_worker,salary
31,Male,Bachelors,9.3,JobRole_3,4.9,Tech,San Francisco,3,No,130245.71
21,Male,HighSchool,5.9,JobRole_4,3.8,Tech,Chicago,2,No,78519.83
36,Male,,15.8,JobRole_10,2.3,Finance,Los Angeles,3,Yes,131200.8
38,Male,HighSchool,16.2,JobRole_10,1.1,Tech,Denver,2,No,87519.73
48,Female,PhD,25.7,JobRole_14,4.2,Tech,San Francisco,0,No,190123.95
36,Male,HighSchool,12.4,JobRole_2,3.0,Finance,Boston,2,No,95356.92
44,Male,Bachelors,32.5,JobRole_13,4.5,Tech,Boston,1,Yes,155374.1
40,Female,PhD,24.3,JobRole_11,4.7,Tech,Chicago,2,Yes,131757.61
32,Male,HighSchool,10.0,JobRole_13,3.0,Tech,Atlanta,1,No,78755.12
24,Female,Bachelors,9.2,JobRole_10,4.2,Tech,Seattle,5,Yes,104756.26
38,Male,Masters,19.6,JobRole_15,4.6,Tech,Raleigh,2,Yes,113900.17
24,Male,HighSchool,5.4,JobRole_4,3.9,Tech,San Francisco,5,No,108143.86
46,Female,Bachelors,23.8,JobRole_2,5.0,Tech,Seattle,0,Yes,126582.54
34,Female,HighSchool,12.5,JobRole_15,,Healthcare,Denver,2,No,73946.08
45,Female,Bachelors,24.9,JobRole_15,2.9,Retail,Dallas,4,No,76185.11
32,Male,Bachelors,6.1,JobRole_6,2.2,Retail,Raleigh,1,No,54145.21
38,Male,Masters,16.5,JobRole_13,3.9,Tech,Seattle,1,Yes,166015.93
37,Female,Bachelors,17.0,JobRole_10,4.2,Healthcare,Los Angeles,1,Yes,113945.93
35,Male,HighSchool,18.9,JobRole_15,4.4,Tech,Atlanta,3,No,74515.11
32,Male,Bachelors,10.2,JobRole_9,3.6,Tech,Denver,3,Yes,107464.24
39,Male,Bachelors,21.4,JobRole_1,4.2,Finance,Raleigh,0,Yes,97476.06
28,Male,Bachelors,1.8,JobRole_5,3.7,Finance,Raleigh,1,No,78912.63
26,Female,HighSchool,9.5,JobRole_9,4.0,Finance,Boston,2,No,95478.71
45,Male,Masters,22.3,JobRole_11,4.4,Tech,Raleigh,2,No,121249.61
41,Female,Bachelors,21.4,JobRole_7,4.7,Tech,Raleigh,0,No,90922.27
36,Male,,17.2,JobRole_14,2.8,Retail,,2,No,86761.9
49,Male,Bachelors,29.6,JobRole_11,3.6,Retail,San Francisco,3,Yes,153833.37
33,Male,Bachelors,12.7,JobRole_6,4.1,Tech,New York,4,No,124335.33
46,Male,Masters,22.3,JobRole_7,2.6,Healthcare,Miami,0,Yes,110966.02
37,Female,Bachelors,14.3,JobRole_14,3.6,Tech,Seattle,0,No,113024.95
27,Female,HighSchool,10.0,JobRole_13,4.5,Finance,Austin,2,No,89832.14
50,Female,Bachelors,28.2,JobRole_9,5.0,Tech,San Francisco,4,Yes,162774.41
43,Female,Bachelors,22.7,JobRole_3,4.5,Healthcare,Denver,1,No,105824.77
35,Female,PhD,10.5,JobRole_8,4.0,Tech,Austin,3,Yes,123628.98
41,Female,HighSchool,23.6,JobRole_1,4.7,Healthcare,Los Angeles,2,No,91754.24
32,Male,Bachelors,8.0,JobRole_10,,Tech,Dallas,3,Yes,103289.56
42,Male,HighSchool,24.7,JobRole_6,4.5,Tech,New York,3,No,141068.46
21,Male,Bachelors,0.0,JobRole_9,4.9,Tech,Chicago,1,No,84605.34
27,Male,Bachelors,10.0,JobRole_1,3.7,Retail,Atlanta,1,No,55891.7
43,Male,Masters,23.0,JobRole_5,3.8,Retail,Los Angeles,1,No,132445.45
34,Male,,12.3,JobRole_8,4.8,Finance,Los Angeles,3,No,114879.85
37,Female,Masters,21.8,JobRole_15,3.8,Tech,Seattle,4,No,139073.14
25,Male,Bachelors,4.8,JobRole_10,3.9,Tech,Los Angeles,0,No,103794.4
50,Male,Masters,28.9,JobRole_15,4.7,Healthcare,Miami,2,No,104787.09
45,Male,,27.7,JobRole_11,3.2,Tech,Atlanta,0,Yes,122244.29
34,Male,HighSchool,9.6,JobRole_6,3.6,Tech,Los Angeles,2,No,82173.2
32,Female,Masters,4.4,JobRole_6,3.1,Finance,New York,1,No,89324.99
44,Male,HighSchool,27.5,JobRole_14,3.8,Tech,Los Angeles,1,No,120972.85
51,Other,Bachelors,28.5,JobRole_3,4.8,Healthcare,Dallas,3,Yes,100178.15
43,Female,Masters,25.6,JobRole_8,3.1,Retail,Atlanta,2,Yes,83714.89
53,Male,HighSchool,33.1,JobRole_14,4.0,Tech,Los Angeles,5,Yes,153704.17
28,Male,Bachelors,4.5,JobRole_1,3.7,Retail,San Francisco,2,No,95483.81
29,Female,Masters,10.8,JobRole_12,3.6,Finance,Los Angeles,0,No,101786.05
26,Female,PhD,4.8,JobRole_4,3.8,Tech,San Francisco,2,Yes,146044.55
39,Female,Masters,15.8,JobRole_8,4.2,Finance,Miami,5,No,96070.58
37,Female,Bachelors,,JobRole_6,4.3,Retail,New York,9,No,85277.49
34,Male,Bachelors,8.8,JobRole_11,4.5,Retail,Atlanta,3,No,76426.81
42,Male,Masters,23.2,JobRole_9,5.0,Healthcare,Seattle,3,No,143412.64
45,Male,Bachelors,22.2,JobRole_1,4.7,Finance,Denver,0,Yes,109770.74
23,Female,Masters,2.9,JobRole_15,3.4,Tech,San Francisco,4,No,112929.74
31,Female,HighSchool,10.5,JobRole_15,4.0,Finance,Atlanta,0,Yes,62106.38
42,Male,HighSchool,19.2,JobRole_2,3.6,Finance,Miami,2,No,96949.58
32,Male,Bachelors,7.4,JobRole_13,4.5,Tech,Dallas,3,Yes,107556.25
29,Male,PhD,16.6,JobRole_12,4.0,Tech,Chicago,1,Yes,112810.8
44,Male,Bachelors,23.9,JobRole_14,5.0,Tech,San Francisco,0,Yes,167484.58
25,Female,PhD,10.5,JobRole_1,3.4,Retail,Los Angeles,1,Yes,110756.2
33,Female,Masters,16.5,JobRole_11,3.6,Finance,Miami,1,Yes,116473.31
38,Female,Masters,17.0,JobRole_4,3.7,Tech,Boston,1,No,113001.46
31,Male,Masters,11.5,JobRole_13,3.3,Tech,Boston,3,No,149158.26
42,Male,Masters,22.5,JobRole_9,4.4,Tech,Atlanta,4,No,120393.63
31,Female,Masters,16.5,JobRole_4,4.0,Tech,Chicago,3,No,95961.1
47,Female,Bachelors,29.5,JobRole_9,4.4,Finance,Atlanta,2,Yes,108946.15
34,Female,HighSchool,11.6,JobRole_6,2.1,Tech,Miami,3,Yes,58000.51
41,Female,HighSchool,22.1,JobRole_5,3.2,Retail,New York,1,No,101426.47
41,Male,HighSchool,23.4,JobRole_10,3.9,Healthcare,Austin,4,Yes,116459.23
30,Male,HighSchool,6.5,JobRole_4,3.7,Healthcare,Chicago,3,Yes,62115.51
21,Male,HighSchool,2.5,JobRole_13,4.7,Healthcare,Seattle,5,No,79057.06
38,Male,Masters,22.0,JobRole_10,3.2,Finance,Dallas,2,No,115649.24
36,Male,Bachelors,13.4,JobRole_2,2.8,Tech,Miami,2,No,92136.2
40,Male,Bachelors,17.8,JobRole_13,3.0,Finance,Dallas,3,No,104166.76
34,Female,Masters,17.5,JobRole_8,3.9,Tech,Seattle,2,No,144435.13
32,Male,Bachelors,10.9,JobRole_3,4.2,Tech,Miami,3,No,102291.21
52,Male,HighSchool,29.1,JobRole_15,3.7,Tech,Dallas,4,Yes,97772.78
24,Female,Masters,6.6,JobRole_13,3.7,Tech,Dallas,1,No,100812.2
41,Male,Bachelors,22.7,JobRole_1,3.0,Healthcare,San Francisco,2,No,142744.83
31,Male,Bachelors,11.3,JobRole_11,,Tech,Boston,0,Yes,134197.15
33,Female,Bachelors,16.4,JobRole_10,3.4,Tech,Chicago,2,Yes,96335.81
33,Male,Bachelors,16.6,JobRole_7,4.5,Retail,Austin,4,Yes,83899.6
29,Male,Masters,8.8,JobRole_15,3.1,Tech,Atlanta,0,Yes,100303.11
40,Male,Bachelors,25.9,JobRole_8,3.9,Finance,Chicago,4,No,105096.14
47,Male,PhD,31.8,JobRole_7,3.5,Finance,Seattle,2,No,154479.25
39,Female,HighSchool,13.0,JobRole_4,2.9,Finance,Los Angeles,0,Yes,97420.43
36,Female,Bachelors,12.9,JobRole_8,4.1,Tech,Boston,0,No,98006.28
28,Female,Masters,1.2,JobRole_10,3.0,Healthcare,Atlanta,1,No,90851.7
40,Female,Masters,19.0,JobRole_4,2.8,Finance,Raleigh,0,No,100370.41
53,Female,Bachelors,29.4,JobRole_15,3.0,Finance,Boston,0,Yes,121121.66
32,Male,HighSchool,9.6,JobRole_12,4.4,Retail,Raleigh,0,No,46730.69
32,Female,Masters,15.3,JobRole_5,2.4,Tech,Los Angeles,1,No,134990.4
31,Male,HighSchool,5.7,JobRole_8,4.4,Finance,Chicago,4,Yes,74682.04
32,Female,Bachelors,12.4,JobRole_13,4.2,Healthcare,Miami,2,No,98333.79
21,Female,Masters,1.4,JobRole_2,3.1,Healthcare,Dallas,1,No,82016.65
39,Male,Bachelors,18.8,JobRole_13,4.4,Tech,Seattle,1,Yes,134895.37
29,Male,Bachelors,9.4,JobRole_10,3.5,Healthcare,Dallas,3,Yes,84295.94
23,Male,Bachelors,0.0,JobRole_15,3.7,Retail,Los Angeles,2,Yes,56073.28
42,Male,Masters,19.6,JobRole_8,2.4,Healthcare,Austin,2,No,100970.83
27,Female,Bachelors,11.6,JobRole_15,3.8,Tech,Chicago,6,Yes,95444.32
33,Female,Masters,9.4,JobRole_5,3.3,Retail,Chicago,1,No,82320.93
47,Male,Bachelors,32.0,JobRole_5,3.8,Retail,Seattle,0,No,130238.71
24,Male,Bachelors,0.0,JobRole_7,4.1,Healthcare,New York,4,Yes,113761.05
23,Male,Bachelors,0.0,JobRole_4,5.0,Healthcare,Seattle,3,No,103171.14
38,Male,Bachelors,15.1,JobRole_3,4.8,Tech,Denver,2,Yes,112313.83
45,Male,Bachelors,28.4,JobRole_13,,Tech,San Francisco,2,Yes,170115.44
23,Male,Bachelors,1.4,JobRole_6,2.8,Finance,Raleigh,1,No,73594.02
39,Female,Masters,20.0,JobRole_14,4.4,Tech,Seattle,2,Yes,135081.77
40,Male,Masters,20.2,JobRole_6,3.6,Healthcare,Chicago,2,Yes,100918.43
21,Male,Bachelors,0.8,JobRole_13,3.0,Retail,Miami,3,No,61860.16
42,Female,Masters,25.8,JobRole_10,5.0,Tech,Miami,3,No,131692.73
43,Male,Bachelors,25.3,JobRole_12,2.4,Finance,Los Angeles,4,No,112430.69
33,Female,HighSchool,9.6,JobRole_6,4.0,Tech,Miami,3,Yes,70562.59
46,Female,HighSchool,25.2,JobRole_7,4.4,Finance,Dallas,2,No,82658.04
45,Male,Bachelors,30.2,JobRole_4,4.8,Finance,Miami,5,No,124191.66
36,Male,Bachelors,17.0,JobRole_3,4.5,Tech,Austin,1,Yes,114355.52
32,Male,HighSchool,7.5,JobRole_3,4.0,Retail,Denver,0,No,62855.92
28,Male,HighSchool,3.7,JobRole_3,3.8,Retail,Raleigh,7,No,51745.28
35,Male,Bachelors,17.7,JobRole_15,3.2,Finance,Denver,1,Yes,99548.98
40,Female,PhD,22.1,JobRole_13,4.0,Finance,Austin,0,No,131392.68
33,Male,Masters,10.2,JobRole_2,4.3,Tech,Austin,2,Yes,103533.55
21,Male,Bachelors,3.2,JobRole_6,2.9,Tech,Raleigh,2,No,70999.73
46,Male,Masters,30.8,JobRole_1,4.5,Healthcare,Boston,1,Yes,137580.15
37,Female,Bachelors,21.4,JobRole_6,4.6,Retail,Seattle,4,Yes,83831.32
32,Male,Masters,,JobRole_8,3.6,Retail,Chicago,1,Yes,84508.9
42,Male,Bachelors,23.7,JobRole_6,5.0,Tech,Atlanta,2,No,98892.04
48,Male,Bachelors,27.5,JobRole_2,4.5,Tech,New York,2,No,146814.44
21,Other,HighSchool,0.0,JobRole_7,2.1,Tech,Seattle,5,No,81137.33
39,Male,Bachelors,18.9,JobRole_12,3.9,Healthcare,Dallas,2,No,84483.44
24,Female,HighSchool,1.4,JobRole_3,2.8,Healthcare,Raleigh,3,No,57067.83
39,Female,Bachelors,17.9,JobRole_9,3.0,Retail,San Francisco,1,Yes,106430.98
37,Male,HighSchool,20.8,JobRole_12,3.2,Finance,Chicago,1,No,98206.44
41,Female,Bachelors,16.2,JobRole_11,5.0,Tech,Raleigh,4,Yes,96495.35
32,Male,Masters,7.4,JobRole_8,2.9,Finance,Raleigh,1,No,76708.31
21,Female,Bachelors,3.5,JobRole_6,3.4,Retail,Seattle,2,Yes,65886.46
32,Female,Masters,10.9,JobRole_1,3.9,Tech,San Francisco,0,Yes,151678.71
39,Male,Bachelors,13.2,JobRole_2,3.2,Healthcare,Los Angeles,4,No,94472.22
44,Male,Bachelors,23.8,JobRole_14,3.3,Finance,Miami,1,No,113146.41
26,Female,Bachelors,5.4,JobRole_12,3.0,Tech,Chicago,1,No,81759.61
44,Male,Masters,22.7,JobRole_13,3.5,Healthcare,Dallas,1,No,105097.62
30,Male,HighSchool,12.1,JobRole_8,4.1,Tech,Dallas,4,No,86074.2
38,Male,Bachelors,14.0,JobRole_6,3.1,Tech,Los Angeles,3,Yes,110961.05
31,Female,Bachelors,11.0,JobRole_1,4.9,Tech,Los Angeles,4,Yes,106645.84
37,Female,Bachelors,16.4,JobRole_9,3.6,Finance,New York,2,Yes,140271.95
43,Male,Bachelors,23.1,JobRole_14,5.0,Tech,Austin,1,Yes,127629.5
26,Male,Bachelors,0.8,JobRole_8,3.4,Tech,Boston,1,No,91515.03
30,Male,Masters,8.4,JobRole_14,2.4,Finance,Atlanta,0,No,93936.73
37,Female,Masters,17.1,JobRole_2,3.3,Tech,Raleigh,3,No,96162.29
55,Male,Masters,36.6,JobRole_10,4.7,Finance,Raleigh,3,Yes,141052.04
29,Female,Bachelors,14.5,JobRole_12,2.9,Healthcare,Denver,0,Yes,86224.93
52,Male,Bachelors,34.4,JobRole_5,,Retail,Denver,2,No,111411.15
52,Female,HighSchool,33.4,JobRole_3,4.5,Healthcare,Atlanta,0,Yes,92960.9
35,Male,Masters,18.8,JobRole_14,4.2,Healthcare,Los Angeles,3,No,131518.16
33,Male,Bachelors,12.1,JobRole_1,4.2,Healthcare,Raleigh,1,No,67581.35
30,Male,Bachelors,14.7,JobRole_7,4.0,Tech,Chicago,1,Yes,104871.83
35,Female,Masters,18.4,JobRole_9,3.1,Tech,Atlanta,0,No,97612.38
24,Female,Bachelors,2.7,JobRole_12,3.2,Finance,Boston,0,Yes,79843.84
35,Male,Bachelors,20.8,JobRole_11,3.9,Healthcare,Boston,2,No,124168.92
47,Female,Bachelors,28.3,JobRole_7,4.5,Tech,Seattle,1,No,112783.67
31,Female,Bachelors,17.6,JobRole_3,3.3,Healthcare,Atlanta,2,Yes,101529.41
34,Female,Masters,14.9,JobRole_6,3.7,Tech,New York,1,No,126945.51
22,Male,Bachelors,0.3,JobRole_3,4.9,Healthcare,Dallas,1,No,85923.86
38,Male,Bachelors,15.7,JobRole_4,4.5,Tech,Seattle,2,No,122920.37
38,Male,HighSchool,16.9,JobRole_15,4.5,Tech,Austin,1,No,92179.73
36,Female,Bachelors,14.3,JobRole_1,3.7,Retail,Miami,3,No,79880.57
34,Female,Bachelors,17.8,JobRole_2,4.0,Healthcare,San Francisco,2,No,109585.01
33,Female,HighSchool,12.9,JobRole_1,3.7,Retail,New York,0,Yes,85188.25
40,Male,Bachelors,15.2,JobRole_10,4.2,Tech,Boston,2,Yes,123055.24
35,Male,Bachelors,15.6,JobRole_2,2.8,Retail,Chicago,2,No,72261.15
38,Female,Masters,18.4,JobRole_4,3.2,Healthcare,Chicago,2,No,103771.49
37,Female,HighSchool,15.6,JobRole_6,2.7,Finance,Seattle,3,Yes,86726.66
44,Female,Masters,24.8,JobRole_11,4.6,Tech,Austin,2,No,119710.21
41,Female,Bachelors,20.9,JobRole_14,4.5,Tech,Raleigh,2,No,88204.97
37,Female,Bachelors,18.9,JobRole_12,3.4,Healthcare,Atlanta,1,No,63472.03
48,Male,PhD,29.7,JobRole_8,3.6,Healthcare,San Francisco,1,Yes,187732.26
39,Male,Bachelors,20.1,JobRole_14,4.5,Tech,Atlanta,0,Yes,121850.84
46,Female,Bachelors,22.1,JobRole_14,4.5,Tech,Denver,1,No,116371.2
40,Female,Bachelors,26.4,JobRole_10,5.0,Healthcare,Austin,3,Yes,111785.9
21,Male,Bachelors,0.0,JobRole_9,2.7,Tech,Austin,1,Yes,86288.92
46,Male,Bachelors,25.6,JobRole_15,3.9,Healthcare,Boston,1,Yes,119181.36
37,Female,HighSchool,13.7,JobRole_10,3.8,Tech,Raleigh,1,Yes,83785.78
35,Male,Bachelors,16.2,JobRole_7,4.3,Tech,Dallas,1,No,85549.06
38,Male,Bachelors,18.4,JobRole_4,4.6,Tech,New York,0,No,142055.4
33,Male,Masters,12.5,JobRole_15,3.6,Tech,Los Angeles,2,Yes,121144.05
37,Female,HighSchool,21.6,JobRole_14,4.1,Finance,New York,2,No,125101.43
31,Female,Bachelors,14.3,JobRole_14,3.5,Tech,Los Angeles,1,No,116688.41
46,Male,Bachelors,25.0,JobRole_15,2.9,Tech,Miami,3,No,116739.49
35,Female,HighSchool,17.4,JobRole_7,3.2,Healthcare,Boston,1,Yes,83169.58
32,Male,Bachelors,16.7,JobRole_1,3.4,Finance,Los Angeles,3,No,128299.67
28,Male,HighSchool,11.3,JobRole_11,4.1,Tech,San Francisco,2,No,132056.28
38,Female,Bachelors,17.6,JobRole_12,2.2,Healthcare,Atlanta,1,No,86055.77
37,Female,Masters,12.2,JobRole_14,4.2,Tech,Austin,3,No,94336.92
39,Female,Masters,20.0,JobRole_15,4.4,Tech,Dallas,1,Yes,110671.77
27,Female,Bachelors,9.0,JobRole_14,3.3,Tech,Raleigh,2,Yes,90375.1
23,Female,Masters,0.7,JobRole_13,4.9,Tech,Denver,2,No,96726.82
41,Male,Masters,21.1,JobRole_14,4.1,Tech,Chicago,4,No,126718.18
47,Male,Bachelors,26.8,JobRole_10,4.3,Retail,Austin,2,No,108679.26
27,Male,PhD,11.2,JobRole_11,3.6,Tech,Dallas,2,Yes,135546.54
48,Male,Bachelors,,JobRole_11,2.8,Finance,Denver,3,Yes,122671.86
38,Female,Bachelors,21.5,JobRole_6,,Tech,Atlanta,2,Yes,86066.23
35,Male,Bachelors,14.7,JobRole_1,3.1,Finance,Boston,2,No,110909.58
32,Female,Masters,15.4,JobRole_8,4.3,Finance,Dallas,2,Yes,101259.41
24,Female,Bachelors,5.9,JobRole_4,3.1,Finance,Denver,1,No,85385.38
43,Female,HighSchool,22.8,JobRole_8,4.2,Tech,Austin,0,Yes,97144.89
29,Male,Bachelors,15.3,JobRole_8,2.5,Retail,Dallas,1,No,69684.85
29,Female,HighSchool,6.8,JobRole_14,4.7,Tech,Austin,2,Yes,81120.22
43,Male,Bachelors,24.8,JobRole_14,4.6,Retail,Atlanta,1,Yes,88060.38
21,Male,Masters,3.5,JobRole_2,3.5,Tech,Los Angeles,2,No,105783.04
23,Female,Bachelors,2.1,JobRole_6,3.1,Healthcare,Boston,1,No,66902.82
35,Male,Bachelors,16.7,JobRole_13,4.5,Tech,Los Angeles,2,No,139106.13
38,Male,Masters,20.8,JobRole_10,3.5,Tech,Miami,3,No,118312.47
39,Female,Bachelors,19.7,JobRole_14,3.5,Finance,San Francisco,2,Yes,135816.58
33,Male,Bachelors,14.4,JobRole_14,,Tech,Raleigh,3,Yes,93206.99
56,Female,Bachelors,36.3,JobRole_15,5.0,Tech,New York,4,No,163518.63
34,Female,Masters,16.4,JobRole_4,3.3,Tech,Austin,1,No,109927.68
34,Female,Bachelors,13.3,JobRole_3,4.3,Tech,Dallas,2,No,97554.45
29,Male,HighSchool,8.1,JobRole_13,3.0,Finance,New York,3,Yes,110050.63
36,Male,Bachelors,16.1,JobRole_9,2.1,Tech,Chicago,0,No,101468.2
40,Female,Masters,23.6,JobRole_12,,Healthcare,New York,1,Yes,141552.38
45,Male,Bachelors,19.8,JobRole_10,3.2,Retail,Denver,4,Yes,103234.8
24,Female,Bachelors,1.3,JobRole_12,3.2,Tech,Raleigh,0,Yes,53333.04
34,Female,HighSchool,20.8,JobRole_9,4.6,Tech,Los Angeles,2,No,109665.16
39,Female,Bachelors,19.8,JobRole_2,3.2,Retail,Boston,1,Yes,82633.59
40,Male,Bachelors,18.8,JobRole_5,3.5,Tech,Dallas,0,Yes,109048.2
36,Male,Bachelors,18.4,JobRole_15,4.4,Tech,Raleigh,3,Yes,99222.86
40,Female,Masters,17.6,JobRole_10,3.5,Healthcare,Miami,0,Yes,103179.61
29,Male,PhD,2.7,JobRole_10,3.5,Healthcare,,2,Yes,151407.0
48,Male,,29.1,JobRole_7,4.0,Healthcare,Raleigh,5,No,94542.26
43,Female,Bachelors,20.8,JobRole_9,3.8,Tech,Denver,1,No,107119.56
25,Female,HighSchool,5.3,JobRole_8,3.4,Tech,Austin,5,No,59730.25
27,Female,Masters,8.0,JobRole_10,4.0,Tech,Austin,1,No,106714.53
27,Female,Bachelors,7.4,JobRole_4,2.1,Tech,Austin,3,Yes,94796.18
41,Male,Bachelors,15.9,JobRole_3,3.6,Finance,San Francisco,4,Yes,139973.08
25,Female,Masters,5.1,JobRole_1,2.9,Healthcare,Dallas,2,Yes,79276.31
33,Other,Masters,14.3,JobRole_1,4.3,Tech,Dallas,0,No,100526.43
39,Male,HighSchool,14.8,JobRole_9,4.7,Finance,New York,0,No,126285.5
35,Male,HighSchool,10.4,JobRole_4,3.6,Tech,Raleigh,2,Yes,80542.94
38,Female,Bachelors,14.8,JobRole_8,3.6,Retail,Los Angeles,4,Yes,98444.03
27,Female,Bachelors,9.2,JobRole_4,4.0,Healthcare,San Francisco,2,No,108617.0
40,Female,Masters,14.0,JobRole_12,3.9,Finance,Boston,3,No,110393.58
31,Female,Bachelors,13.5,JobRole_6,3.6,Healthcare,Atlanta,3,No,73117.48
33,Male,Bachelors,14.2,JobRole_4,3.9,Tech,Denver,1,Yes,113614.93
37,Male,Masters,16.2,JobRole_15,3.5,Retail,Denver,1,No,83713.57
36,Female,Bachelors,11.6,JobRole_2,4.3,Tech,Boston,1,No,99388.58
36,Female,Bachelors,13.6,JobRole_1,5.0,Tech,Austin,2,Yes,107671.55
29,Female,Bachelors,11.3,JobRole_8,3.5,Retail,Dallas,5,Yes,72544.37
33,Female,Masters,16.8,JobRole_6,4.2,Tech,New York,2,No,129489.84
36,Male,Bachelors,12.9,JobRole_1,2.1,Healthcare,San Francisco,3,No,128491.11
24,Male,Bachelors,7.4,JobRole_5,2.2,Tech,New York,3,Yes,120354.7
32,Female,HighSchool,14.1,JobRole_3,3.9,Tech,Los Angeles,1,No,99942.59
39,Female,Masters,19.0,JobRole_2,3.6,Retail,Chicago,0,No,92076.55
25,Female,Bachelors,2.8,JobRole_3,2.9,Retail,Los Angeles,3,No,85640.83
45,Female,Bachelors,23.3,JobRole_2,4.3,Retail,Dallas,4,No,85268.39
46,Female,PhD,31.5,JobRole_10,4.0,Tech,Seattle,1,Yes,172982.65
26,Male,Masters,6.5,JobRole_2,3.9,Finance,Boston,0,Yes,116097.39
46,Male,PhD,30.0,JobRole_1,4.2,Tech,Seattle,0,No,162543.16
34,Male,HighSchool,14.7,JobRole_3,4.4,Healthcare,Atlanta,4,Yes,67923.41
39,Female,Masters,17.6,JobRole_3,3.7,Healthcare,Denver,4,No,107850.2
32,Male,Bachelors,13.8,JobRole_4,3.7,Retail,Los Angeles,2,Yes,94619.71
43,Male,HighSchool,29.5,JobRole_3,3.9,Retail,Chicago,1,Yes,87433.4
39,Male,Bachelors,17.1,JobRole_8,3.5,Tech,Austin,4,Yes,99241.82
29,Male,Bachelors,11.7,JobRole_12,4.0,Tech,Austin,1,Yes,94387.02
26,Female,,6.6,JobRole_13,2.8,Tech,New York,6,Yes,112545.78
24,Male,Bachelors,0.0,JobRole_4,4.2,Tech,Miami,5,No,98629.33
37,Male,Masters,12.6,JobRole_14,2.9,Tech,Raleigh,1,Yes,93167.87
40,Female,Bachelors,18.6,JobRole_10,3.6,Tech,Chicago,1,No,108089.14
41,Male,Bachelors,22.0,JobRole_1,3.6,Healthcare,Chicago,4,Yes,94516.88
35,Male,Bachelors,17.6,JobRole_14,4.3,Tech,Dallas,3,Yes,87879.17
26,Male,Masters,1.3,JobRole_2,4.4,Tech,New York,2,Yes,116818.55
30,Female,HighSchool,12.0,JobRole_7,3.9,Tech,Los Angeles,3,Yes,105146.08
45,Male,Bachelors,24.6,JobRole_13,5.0,Tech,Dallas,0,Yes,114871.38
32,Female,Bachelors,12.0,JobRole_6,3.1,Finance,Austin,2,No,83705.3
37,Male,Masters,18.8,JobRole_9,3.7,Healthcare,Chicago,2,No,121912.83
27,Male,HighSchool,12.2,JobRole_13,2.6,Healthcare,Raleigh,0,No,79547.65
38,Male,Bachelors,18.9,JobRole_6,3.0,Retail,Miami,4,No,76439.99
32,Male,Bachelors,7.9,JobRole_2,4.3,Retail,Miami,4,Yes,69721.41
44,Female,Masters,23.4,JobRole_8,3.8,Finance,Chicago,1,No,118935.64
42,Female,Bachelors,24.6,JobRole_9,3.6,Tech,Los Angeles,2,Yes,127710.22
32,Female,Bachelors,14.7,JobRole_5,3.1,Healthcare,Miami,2,No,95734.09
34,Male,HighSchool,16.0,JobRole_6,4.3,Tech,Seattle,2,Yes,93268.76
31,Male,PhD,9.5,JobRole_4,3.3,Tech,Boston,1,Yes,133426.29
24,Female,Bachelors,0.0,JobRole_11,2.5,Tech,Boston,2,Yes,104831.54
29,Male,Bachelors,10.8,JobRole_2,3.7,Tech,Austin,1,Yes,85757.4
37,Male,Bachelors,13.4,JobRole_12,4.1,Tech,Dallas,0,Yes,81699.17
38,Male,Bachelors,20.1,JobRole_5,3.8,Healthcare,Dallas,0,No,102077.8
37,Male,Bachelors,19.1,JobRole_5,3.5,Tech,Miami,3,No,100696.03
